,Unicode,Standard,,Iso latin 1,,CE,,Symbol,,PS name,Unicode name
,hex,octal,hex,octal,hex,octal,hex,octal,hex,,
219,00DB,,,333,00DB,,,,,Ucircumflex,latin capital letter u with circumflex
251,00FB,,,373,00FB,,,,,ucircumflex,latin small letter u with circumflex
220,00DC,,,334,00DC,334,00DC,,,Udiaresis,latin capital letter u with diaresis
252,00FC,,,374,00FC,374,00FC,,,udieresis,latin small letter u with diaresis
217,00D9,,,331,00D9,,,,,Ugrave,latin capital letter u with grave
249,00F9,,,371,00F9,,,,,ugrave,latin small letter u with grave
,U+0170,,,,,333,00DB,,,Uhungarumlaut,latin capital letter u with double acute
,U+171,,,,,373,00FB,,,uhungarumlaut,latin small letter u with double acute
95,005F,137,005F,137,005F,137,005F,137,5F,underscore,low line
,005F,137,5F,,,,,137,5F,underscore,LOW LINE
,222A,,,,,,,310,C8,union,UNION
,2200,,,,,,,042,22,universal,FOR ALL
,03A5,,,,,,,125,55,Upsilon,GREEK CAPITAL LETTER UPSILON
,03C5,,,,,,,165,75,upsilon,GREEK SMALL LETTER UPSILON
,03D2,,,,,,,241,A1,Upsilon1,GREEK UPSILON WITH HOOK SYMBOL
,U+016e,,,,,331,00D9,,,Uring,latin capital letter u with ring above
,U+016f,,,,,371,00F9,,,uring,latin small letter u with ring above
86,56,126,56,126,56,126,56,,,V,latin capital letter v
118,76,166,76,166,76,166,76,,,v,latin small letter v
87,57,127,57,127,57,127,57,,,W,latin capital letter w
119,77,167,77,167,77,167,77,,,w,latin small letter w
,2118,,,,,,,303,C3,weierstrass,SCRIPT CAPITAL P
88,58,130,58,130,58,130,58,,,X,latin capital letter x
120,78,170,78,170,78,170,78,,,x,latin small letter x
,039E,,,,,,,130,58,Xi,GREEK CAPITAL LETTER XI
,03BE,,,,,,,170,78,xi,GREEK SMALL LETTER XI
89,59,131,59,131,59,131,59,,,Y,latin capital letter y
121,79,171,79,171,79,171,79,,,y,latin small letter y
221,00DD,,,335,00DD,335,00DD,,,Yacute,latin capital letter y with acute
253,00FD,,,375,00FD,375,00FD,,,yacute,latin small letter y with acute
255,00FF,,,377,00FF,,,,,ydieresis,latin small letter y with diaresis
165,00A5,245,00A5,245,00A5,,,,,yen,yen sign
90,005A,132,005A,132,005A,132,005A,,,Z,latin capital letter z
122,007A,172,007A,172,007A,172,007A,,,z,latin small letter z
,U+0179,,,,,217,008F,,,Zacute,latin capital letter z with acute
,U+017a,,,,,237,009F,,,zacute,latin small letter z with acute
,U+017d,,,,,216,008E,,,Zcaron,latin capital letter z with caron
,U+017e,,,,,236,009E,,,zcaron,latin small letter z with caron
,U+017b,,,,,257,00AF,,,Zdotaccent,latin capital letter z with dot above
,U+017c,,,,,277,00BF,,,zdotaccent,latin small letter z with dot above
48,30,60,30,60,30,60,30,60,30,zero,digit zero
,396,,,,,,,132,5A,Zeta,GREEK CAPITAL LETTER ZETA
,03B6,,,,,,,172,7A,zeta,GREEK SMALL LETTER ZETA
