,Unicode,Standard,,Iso latin 1,,CE,,Symbol,,PS name,Unicode name
,hex,octal,hex,octal,hex,octal,hex,octal,hex,,
,03A7,,,,,,,103,43,Chi,GREEK CAPITAL LETTER CHI
,03C7,,,,,,,143,63,chi,GREEK SMALL LETTER CHI
,2297,,,,,,,304,C4,circlemultiply,CIRCLED TIMES
,2295,,,,,,,305,C5,circleplus,CIRCLED PLUS
,02C6,303,C3,223,93,,,,,circumflex,MODIFIER LETTER CIRCUMFLEX ACCENT
,2663,,,,,,,247,A7,club,BLACK CLUB SUIT
58,003A,72,003A,72,003A,72,003A,72,3A,colon,colon
,003A,,,,,,,072,3A,colon,COLON
44,002C,54,002C,54,002C,54,002C,54,2C,comma,comma
,2245,,,,,,,100,40,congruent,APPROXIMATELY EQUAL TO
169,00A9,,,251,00A9,251,00A9,,,copyright,copyright sign
,F8E9,,,,,,,343,E3,copyrightsans (CUS),COPYRIGHT SIGN SANS SERIF
,F6D9,,,,,,,323,D3,copyrightserif (CUS),COPYRIGHT SIGN SERIF
164,00A4,250,00A8,244,00A4,244,00A4,,,currency,currency sign
68,44,104,44,104,44,104,44,,,D,latin capital letter d
100,64,144,64,144,64,144,64,,,d,latin small letter d
,U+2020,262,00B2,,,206,86,,,dagger,dagger
,U+2021,263,00B3,,,207,87,,,daggerdbl,double dagger
,U+010e,,,,,317,00CF,,,Dcaron,latin capital letter d with caron
,U+010f,,,,,357,00EF,,,dcaron,latin small letter d with caron
,U+0111,,,,,320,00D0,,,Dcroat,latin capital letter d with atroke
,U+0112,,,,,360,00F0,,,dcroat,latin small letter d with stroke
176,00B0,,,260,00B0,260,00B0,260,B0,degree,degree sign
,394,,,,,,,104,44,Delta,GREEK CAPITAL LETTER DELTA
,03B4,,,,,,,144,64,delta,GREEK SMALL LETTER DELTA
,2206,,,,,,,104,44,Delta,INCREMENT
,2666,,,,,,,250,A8,diamond,BLACK DIAMOND SUIT
168,00A8,310,00C8,250,00A8,250,00A8,,,dieresis,diaresis
247,00F7,,,367,00F7,367,00F7,270,B8,divide,division sign
36,24,44,24,44,24,44,24,,,dollar,dollar sign
151,U+02d9,307,00C7,227,97,377,00FF,,,dotaccent,dot above (combining dot above is U+0307)
144,U+0131,365,00F5,220,90,,,,,dotlessi,latin small letter dotless I
,22C5,,,,,,,327,D7,dotmath,DOT OPERATOR
69,45,105,45,105,45,105,45,,,E,latin capital letter e
101,65,145,65,145,65,145,65,,,e,latin small letter e
,65,145,65,,,,,,,e,LATIN SMALL LETTER E
201,00C9,,,311,00C9,311,00C9,,,Eacute,latin capital letter e with acute
233,0,,,351,E9,351,E9,,,eacute,latin small letter e with acute
,U+011e,,,,,314,00CC,,,Ecaron,latin capital letter e with caron
,U+011f,,,,,354,00EC,,,ecaron,latin small letter e with caron
202,00CA,,,312,00CA,,,,,Ecircumflex,latin capital letter e with circumflex
234,00EA,,,352,00EA,,,,,ecircumflex,latin small letter e with circumflex
203,00CB,,,313,00CB,313,00CB,,,Ediaresis,latin capital letter e with diaresis
235,00EB,,,353,00EB,353,00EB,,,edieresis,latin small letter e with diaresis
200,00C8,,,310,00C8,,,,,Egrave,latin capital letter e with grave
232,0,,,350,E8,,,,,egrave,latin small letter e with grave
56,38,70,38,70,38,70,38,070,38,eight,digit eight
,2208,,,,,,,316,CE,element,ELEMENT OF
,U+2026,274,00BC,,,205,85,274,BC,ellipsis,horizontal ellipsis
,U+2014,320,00D0,,,227,97,,,emdash,em dash
,2205,,,,,,,306,C6,emptyset,EMPTY SET
,U+2013,261,00B1,,,226,96,,,endash,en dash
,U+0118,,,,,312,00CA,,,Eogonek,latin capital letter e with ogonek
,U+0119,,,,,352,00EA,,,eogonek,latin small letter e with ogonek
,395,,,,,,,105,45,Epsilon,GREEK CAPITAL LETTER EPSILON
,03B5,,,,,,,145,65,epsilon,GREEK SMALL LETTER EPSILON
61,003D,75,003D,75,003D,75,003D,75,3D,equal,equals sign
,2261,,,,,,,272,BA,equivalence,IDENTICAL TO
,397,,,,,,,110,48,Eta,GREEK CAPITAL LETTER ETA
,03B7,,,,,,,150,68,eta,GREEK SMALL LETTER ETA
208,00D0,,,320,00D0,,,,,Eth,latin capital letter eth
240,00F0,,,360,00F0,,,,,eth,latin small letter eth
,20AC,,,,,,,240,A0,Euro,EURO SIGN
33,21,41,21,41,21,41,21,41,21,exclam,exclamation mark
161,00A1,241,00A1,241,00A1,,,,,exclamdown,inverted exclamation mark
,2203,,,,,,,044,24,existential,THERE EXISTS
70,46,106,46,106,46,106,46,,,F,latin capital letter f
102,66,146,66,146,66,146,66,,,f,latin small letter f
,FB01,256,AE,,,,,,,fi,LATIN SMALL LIGATURE FI
53,35,65,35,65,35,65,35,65,35,five,digit five
,U+fb02,257,00AF,,,,,,,fl,latin small ligature fl
,U+0192,246,00A6,,,,,246,A6,florin,latin small letter f with hook
52,34,64,34,64,34,64,34,64,34,four,digit four
,2215,244,A4,,,,,244,A4,fraction,DIVISION SLASH
,2044,244,A4,,,,,244,A4,fraction,FRACTION SLASH
71,47,107,47,107,47,107,47,,,G,latin capital letter g
103,67,147,67,147,67,147,67,,,g,latin small letter g
,393,,,,,,,107,47,Gamma,GREEK CAPITAL LETTER GAMMA
,03B3,,,,,,,147,67,gamma,GREEK SMALL LETTER GAMMA
223,00DF,373,00FB,337,00DF,337,00DF,,,germandbls,latin small letter sharp s
,2207,,,,,,,321,D1,gradient,NABLA
96,60,301,00C1,221,91,140,60,,,grave,grave accent
62,003E,76,003E,76,003E,76,003E,76,3E,greater,Greater-than sign
,2265,,,,,,,263,B3,greaterequal,GREATER-THAN OR EQUAL TO
171,00AB,253,00AB,253,00AB,253,00AB,,,guillemotleft,left pointing double angle quotation mark
187,00BB,273,00BB,273,00BB,273,00BB,,,guillemotright,right pointing double angle quotation mark
,U+2039,254,00AC,,,213,008B,,,guilsinglleft,single left-pointing angle quotation mark
,U+203a,255,00AD,,,233,009B,,,guilsinglright,single right-pointing angle quotation mark
72,48,110,48,110,48,110,48,,,H,latin capital letter h
104,68,150,68,150,68,150,68,,,h,latin small letter h
,2665,,,,,,,251,A9,heart,BLACK HEART SUIT
157,U+02dd,315,00CD,235,009D,275,00BD,,,hungarumlaut,double acute accent
,002D,055,2D,,,,,,,hyphen,HYPHEN-MINUS
173,00AD,55,002D,255,00AD,255,00AD,,,hyphen,soft hyphen
73,49,111,49,111,49,111,49,,,I,latin capital letter I
105,69,151,69,151,69,151,69,,,I,latin small letter I
205,00CD,,,315,00CD,315,00CD,,,Iacute,latin capital letter I with acute
237,00ED,,,355,00ED,355,00ED,,,iacute,latin small letter I with acute
206,00CE,,,316,00CE,316,00CE,,,Icircumflex,atin capital letter I with circumflex
238,00EE,,,356,00EE,356,00EE,,,icircumflex,latin small letter I with circumflex
207,00CF,,,317,00CF,,,,,Idieresis,latin capital letter I with diaresis
239,00EF,,,357,00EF,,,,,idieresis,latin small letter I with diaresis
,2111,,,,,,,301,C1,Ifraktur,BLACK-LETTER CAPITAL I
204,00CC,,,314,00CC,,,,,Igrave,latin capital letter I with grave
236,00EC,,,354,00EC,,,,,igrave,latin small letter I with grave
,221E,,,,,,,245,A5,infinity,INFINITY
,222B,,,,,,,362,F2,integral,INTEGRAL
,2321,,,,,,,365,F5,integralbt,BOTTOM HALF INTEGRAL
,F8F5,,,,,,,364,F4,integralex (CUS),INTEGRAL EXTENDER
,2320,,,,,,,363,F3,integraltp,TOP HALF INTEGRAL
,2229,,,,,,,307,C7,intersection,INTERSECTION
,399,,,,,,,111,49,Iota,GREEK CAPITAL LETTER IOTA
,03B9,,,,,,,151,69,iota,GREEK SMALL LETTER IOTA
74,004A,112,004A,112,004A,112,004A,,,J,latin capital letter j
106,006A,152,006A,152,006A,152,006A,,,j,latin small letter j
75,004B,113,004B,113,004B,113,004B,,,K,latin capital letter k
107,006B,153,006B,153,006B,153,006B,,,k,latin small letter k
,039A,,,,,,,113,4B,Kappa,GREEK CAPITAL LETTER KAPPA
,03BA,,,,,,,153,6B,kappa,GREEK SMALL LETTER KAPPA
76,004C,114,004C,114,004C,114,004C,,,L,latin capital letter l
108,006C,154,006C,154,006C,154,006C,,,l,latin small letter l
,U+013a,,,,,345,E5,,,lacute,latim small  letter l with acute
